iter	Passed	Remaining
598	2398	1605
599	2402	1601
600	2406	1597
601	2410	1593
602	2414	1589
603	2418	1585
604	2422	1581
605	2426	1577
606	2430	1573
607	2434	1569
608	2438	1565
609	2442	1561
610	2446	1557
611	2451	1553
612	2455	1549
613	2459	1545
614	2463	1541
615	2467	1537
616	2471	1534
617	2475	1530
618	2479	1526
619	2483	1522
620	2488	1518
621	2492	1514
622	2496	1510
623	2500	1506
624	2504	1502
625	2508	1498
626	2512	1494
627	2515	1490
628	2520	1486
629	2524	1482
630	2528	1478
631	2531	1474
632	2535	1470
633	2539	1466
634	2543	1462
635	2547	1457
636	2551	1453
637	2555	1450
638	2559	1446
639	2563	1441
640	2567	1437
641	2571	1433
642	2575	1429
643	2579	1425
644	2583	1421
645	2587	1418
646	2591	1413
647	2595	1409
648	2599	1405
649	2603	1402
650	2607	1397
651	2611	1393
652	2615	1389
653	2619	1385
654	2623	1381
655	2627	1377
656	2631	1373
657	2635	1369
658	2639	1365
659	2643	1361
660	2646	1357
661	2651	1353
662	2654	1349
663	2658	1345
664	2662	1341
665	2667	1337
666	2671	1333
667	2675	1329
668	2679	1325
669	2684	1322
670	2689	1318
671	2693	1314
672	2697	1310
673	2701	1306
674	2705	1302
675	2710	1298
676	2714	1294
677	2718	1290
678	2722	1286
679	2726	1282
680	2730	1278
681	2734	1274
682	2737	1270
683	2741	1266
684	2746	1262
685	2750	1258
686	2754	1254
687	2758	1250
688	2762	1246
689	2766	1243
690	2770	1238
691	2774	1234
692	2779	1231
693	2783	1227
694	2787	1223
695	2791	1219
696	2795	1215
697	2799	1211
698	2803	1207
699	2807	1203
700	2812	1199
701	2816	1195
702	2820	1191
703	2824	1187
704	2828	1183
705	2832	1179
706	2836	1175
707	2840	1171
708	2844	1167
709	2848	1163
710	2852	1159
711	2855	1155
712	2859	1151
713	2864	1147
714	2868	1143
715	2872	1139
716	2877	1135
717	2882	1132
718	2886	1127
719	2890	1124
720	2895	1120
721	2899	1116
722	2903	1112
723	2907	1108
724	2912	1104
725	2916	1100
726	2920	1096
727	2925	1092
728	2929	1089
729	2933	1084
730	2937	1080
731	2942	1077
732	2946	1073
733	2950	1069
734	2954	1065
735	2959	1061
736	2962	1057
737	2966	1053
738	2970	1049
739	2975	1045
740	2979	1041
741	2983	1037
742	2986	1033
743	2991	1029
744	2995	1025
745	2999	1021
746	3003	1017
747	3007	1013
748	3011	1009
749	3015	1005
750	3019	1001
751	3023	997
752	3027	993
753	3031	988
754	3034	984
755	3039	980
756	3043	976
757	3047	972
758	3050	968
759	3054	964
760	3058	960
761	3062	956
762	3066	952
763	3070	948
764	3074	944
765	3078	940
766	3082	936
767	3086	932
768	3090	928
769	3094	924
770	3098	920
771	3102	916
772	3106	912
773	3110	908
774	3114	904
775	3118	900
776	3122	896
777	3128	892
778	3132	888
779	3136	884
780	3140	880
781	3143	876
782	3147	872
783	3151	868
784	3155	864
785	3159	860
786	3163	856
787	3167	852
788	3171	848
789	3175	844
790	3179	839
791	3182	835
792	3186	831
793	3190	827
794	3194	823
795	3198	819
796	3202	815
797	3206	811
798	3210	807
799	3214	803
800	3218	799
801	3222	795
802	3226	791
803	3229	787
804	3234	783
805	3238	779
806	3242	775
807	3246	771
808	3250	767
809	3254	763
810	3259	759
811	3263	755
812	3267	751
813	3271	747
814	3275	743
815	3278	739
816	3283	735
817	3287	731
818	3291	727
819	3295	723
820	3300	719
821	3304	715
822	3308	711
823	3311	707
824	3316	703
825	3320	699
826	3324	695
827	3328	691
828	3332	687
829	3336	683
830	3340	679
831	3344	675
832	3348	671
833	3352	667
834	3356	663
835	3360	659
836	3365	655
837	3369	651
838	3373	647
839	3377	643
840	3381	639
841	3386	635
842	3390	631
843	3394	627
844	3399	623
845	3403	619
846	3408	615
847	3412	611
848	3416	607
849	3420	603
850	3424	599
851	3429	595
852	3433	591
853	3437	587
854	3441	583
855	3445	579
856	3449	575
857	3453	571
858	3457	567
859	3461	563
860	3465	559
861	3469	555
862	3473	551
863	3477	547
864	3481	543
865	3484	539
866	3488	535
867	3492	531
868	3496	527
869	3500	523
870	3504	519
871	3508	515
872	3513	511
873	3517	507
874	3521	503
875	3525	499
876	3529	495
877	3533	490
878	3537	486
879	3541	482
880	3545	478
881	3549	474
882	3553	470
883	3557	466
884	3561	462
885	3565	458
886	3568	454
887	3573	450
888	3577	446
889	3581	442
890	3585	438
891	3589	434
892	3593	430
893	3597	426
894	3601	422
895	3605	418
896	3609	414
897	3613	410
898	3617	406
899	3621	402
900	3625	398
901	3629	394
902	3633	390
903	3637	386
904	3641	382
905	3645	378
906	3649	374
907	3653	370
908	3658	366
909	3662	362
910	3666	358
911	3670	354
912	3674	350
913	3678	346
914	3681	342
915	3685	338
916	3690	333
917	3694	329
918	3698	325
919	3702	321
920	3706	317
921	3710	313
922	3714	309
923	3718	305
924	3722	301
925	3726	297
926	3730	293
927	3734	289
928	3738	285
929	3742	281
930	3746	277
931	3750	273
932	3754	269
933	3758	265
934	3763	261
935	3767	257
936	3771	253
937	3775	249
938	3779	245
939	3783	241
940	3787	237
941	3791	233
942	3795	229
943	3799	225
944	3803	221
945	3807	217
946	3811	213
947	3815	209
948	3819	205
949	3823	201
950	3827	197
951	3831	193
952	3835	189
953	3839	185
954	3842	181
955	3846	177
956	3850	173
957	3854	168
958	3858	164
959	3862	160
960	3866	156
961	3870	152
962	3874	148
963	3878	144
964	3882	140
965	3886	136
966	3890	132
967	3893	128
968	3898	124
969	3902	120
970	3906	116
971	3910	112
972	3914	108
973	3918	104
974	3922	100
975	3926	96
976	3930	92
977	3935	88
978	3939	84
979	3943	80
980	3947	76
981	3951	72
982	3955	68
983	3959	64
984	3963	60
985	3967	56
986	3971	52
987	3975	48
988	3979	44
989	3983	40
990	3987	36
991	3991	32
992	3995	28
993	3999	24
994	4003	20
995	4007	16
996	4011	12
997	4015	8
998	4019	4
999	4022	0
